order_id,customer_id,order_date
1,32,2024-10-14
2,69,2024-05-14
3,96,2024-10-26
4,55,2024-10-25
5,52,2024-07-04
6,29,2024-03-11
7,66,2024-09-09
8,12,2024-01-25
9,15,2024-03-19
10,81,2024-03-22
11,88,2024-08-04
12,77,2024-02-02
13,50,2024-07-14
14,77,2024-08-27
15,68,2024-05-08
16,71,2024-01-06
17,88,2024-02-28
18,88,2024-10-01
19,97,2024-05-16
20,99,2024-11-24
21,44,2024-02-27
22,38,2024-08-10
23,21,2024-08-20
24,1,2024-05-14
25,65,2024-04-01
26,65,2024-02-24
27,81,2024-06-01
28,82,2024-09-16
29,78,2024-04-11
30,20,2024-07-10
31,98,2024-03-23
32,70,2024-09-28
33,1,2024-11-02
34,42,2024-09-07
35,3,2024-02-27
36,47,2024-06-06
37,31,2024-01-30
38,31,2024-10-17
39,11,2024-02-13
40,94,2024-09-05
41,9,2024-09-29
42,99,2024-03-05
43,17,2024-12-03
44,61,2024-10-08
45,22,2024-05-15
46,68,2024-11-06
47,55,2024-04-18
48,70,2024-12-19
49,26,2024-12-31
50,40,2024-07-23
51,86,2024-11-28
52,48,2024-08-12
53,67,2024-08-19
54,16,2024-05-06
55,29,2024-02-02
56,44,2024-01-11
57,76,2024-10-10
58,30,2024-10-28
59,29,2024-01-04
60,10,2024-12-28
61,81,2024-01-31
62,30,2024-02-04
63,5,2024-06-18
64,10,2024-09-20
65,31,2024-05-22
66,86,2024-09-05
67,28,2024-10-03
68,17,2024-10-19
69,74,2024-08-30
70,32,2024-08-30
71,53,2024-04-07
72,13,2024-02-19
73,85,2024-08-08
74,46,2024-08-04
75,53,2024-08-27
76,94,2024-01-28
77,87,2024-11-30
78,83,2024-02-20
79,8,2024-07-25
80,94,2024-06-22
81,14,2024-05-07
82,25,2024-04-07
83,69,2024-08-17
84,18,2024-08-04
85,24,2024-05-22
86,60,2024-05-07
87,10,2024-08-14
88,71,2024-02-20
89,7,2024-11-29
90,70,2024-01-08
91,12,2024-05-01
92,22,2024-07-27
93,63,2024-09-03
94,28,2024-07-24
95,8,2024-03-25
96,49,2024-01-02
97,50,2024-05-15
98,59,2024-05-26
99,55,2024-12-22
100,94,2024-10-11
101,85,2024-09-06
102,20,2024-04-07
103,38,2024-04-21
104,8,2024-10-23
105,95,2024-10-04
106,8,2024-06-09
107,8,2024-01-26
108,75,2024-09-01
109,65,2024-09-28
110,21,2024-01-30
111,66,2024-02-11
112,24,2024-02-05
113,77,2024-02-04
114,87,2024-04-30
115,52,2024-03-02
116,73,2024-05-06
117,75,2024-10-31
118,6,2024-11-13
119,11,2024-08-02
120,85,2024-10-25
121,73,2024-09-24
122,41,2024-05-13
123,27,2024-12-08
124,92,2024-06-09
125,31,2024-05-15
126,51,2024-03-08
127,86,2024-11-26
128,39,2024-08-22
129,41,2024-02-07
130,2,2024-08-22
131,80,2024-10-15
132,13,2024-02-07
133,69,2024-04-19
134,65,2024-05-15
135,17,2024-06-27
136,9,2024-05-05
137,48,2024-05-25
138,21,2024-08-12
139,70,2024-12-26
140,39,2024-11-09
141,84,2024-09-27
142,2,2024-12-07
143,71,2024-06-02
144,85,2024-02-23
145,18,2024-05-15
146,15,2024-02-24
147,96,2024-10-10
148,20,2024-05-19
149,37,2024-11-05
150,27,2024-06-24
151,27,2024-12-17
152,82,2024-05-15
153,65,2024-09-07
154,33,2024-01-27
155,12,2024-11-20
156,55,2024-05-21
157,6,2024-01-02
158,43,2024-03-07
159,82,2024-05-14
160,21,2024-08-14
161,71,2024-12-27
162,55,2024-10-14
163,2,2024-02-27
164,10,2024-12-19
165,20,2024-10-06
166,5,2024-07-08
167,75,2024-10-09
168,19,2024-08-08
169,17,2024-01-22
170,40,2024-07-05
171,6,2024-07-02
172,27,2024-12-15
173,32,2024-12-07
174,14,2024-06-30
175,100,2024-10-13
176,53,2024-11-13
177,96,2024-03-20
